"name","artist",""
"12/26/23","",""
"Dela Move","Chronixx",""
"SCIENTISTS & ENGINEERS (Explicit)","Killer Mike, André 3000, Future, Eryn Allen Kane",""
"Feds Watching (Explicit)","2 Chainz, Pharrell Williams",""
"I Can't Stop","Flux Pavilion",""
"555-5555","Lorn",""
"UK Ting","TroyBoi, Hamdi, P Money",""
"The Secret Recipe (Explicit)","Lil Yachty, J. Cole",""
"12 Days of Christmas (Explicit)","Gucci Mane",""
"Money Trees (Explicit)","Kendrick Lamar, Jay Rock",""
"Dick (feat. Doja Cat) (DJ Jayhood [Jersey Club Mix]) (Explicit)","StarBoi3, Doja Cat",""
"Trophies (Explicit)","Young Money, Drake",""
"Pose (Salva Remix) (Explicit)","Rihanna",""
"Change Gonna Come (feat. Asher Roth & Charles Hamilton) [prod. Fury] (Explicit)","B.o.B",""
"Peaches & Eggplants (feat. Latto & Sexyy Red) (Explicit)","Young Nudy, Sexyy Red, Latto",""
"Nuttin' For Christmas","Art Mooney, Barry Gordon",""
"Turn Up Ye Merry Gentlemen","Tchami, Malaa",""
"Presha (Explicit)","2 Chainz, Lil Wayne",""
"Relax and Take Notes (feat. Notorious B.I.G. and Project Pat) (Explicit)","8Ball & MJG, The Notorious B.I.G., Project Pat",""
"Got It All (feat. Rich Boy) (Explicit)","Logan Garrett",""
"Protocol","El Michels Affair, Black Thought, Son Little",""
"Santa Claus Goes Straight To The Ghetto (Explicit)","Snoop Dogg",""
"Hold The Line (feat. grandson)","Tom Morello, Grandson",""
"SHED TEARS (Explicit)","Killer Mike, Mozzy, Lena Byrd Miles",""
"Bounce Back (Explicit)","Big Sean",""
"Bounce Back (Explicit)","Big Sean",""
"Bounce Back (Explicit)","Big Sean",""
"Clique (Explicit)","Kanye West, JAY-Z, Big Sean",""
"Backin' It Up (feat. Cardi B) (Explicit)","Pardison Fontaine, Cardi B",""
"Beep Beep (Explicit)","Nicki Minaj, 50 Cent",""
"Hold You (feat. Kyle Young & 90Sum)","Datsunn & xar & Mvtrix",""
"H.O.E. (Heaven On Earth) (Explicit)","Yo Gotti",""
"I Am the Grinch (feat. Fletcher Jones)","Tyler, The Creator, Fletcher Jones",""
"Ambitionz Az A Ridah (Explicit)","2Pac",""
"Powerglide (From SR3MM) (Explicit)","Rae Sremmurd, Swae Lee, Slim Jxmmi, Juicy J",""
"Reintroduction (Explicit)","AZ",""
"HEROES (feat. DJ Premier)","Macklemore, DJ Premier",""
"The Little Drum Machine Boy","Beck",""
"Hot Damn","Blimes, Method Man",""
"Sweet Love","Anita Baker",""
"Deck The Halls (Trap Remix) (Bass Boosted)","Bass Boosted HD, DJ Remix, Christmas Songs Remix",""
"Keep Their Heads Ringin’ (Explicit)","Dr. Dre",""
"Keep Their Heads Ringin’ (Explicit)","Dr. Dre",""
"Da Joint (Explicit)","EPMD",""
"Linus And Lucy","Béla Fleck, The Flecktones",""
"p r i d e . i s . t h e . d e v i l (Explicit)","J. Cole, Lil Baby",""
"Calm Down (Explicit)","Busta Rhymes, Eminem",""
"6 'n the Mornin' (Explicit)","Ice-T",""
"Sex for Christmas","Eric Bellinger",""
"100 Grandkids (Explicit)","Mac Miller",""
"Erbody But Me (Explicit)","Tech N9ne, Bizzy, Krizz Kaliko",""
"Erbody But Me (Explicit)","Tech N9ne, Bizzy, Krizz Kaliko",""
"Rudolph The Red Nose Reindeer (Recorded at Spotify Studios)","DMX",""
"Look Back at It (Explicit)","A Boogie Wit da Hoodie",""
"Desperado","Rihanna",""
"Winter Wonderland [take 2]","Booker T. & The MG's",""
"Wired To The T (Explicit)","Dorrough Music",""
"$ave Dat Money (feat. Fetty Wap & Rich Homie Quan) (Explicit)","Lil Dicky, Fetty Wap, Rich Homie Quan",""
"Red Nose (Explicit)","Sage the Gemini",""
"Reservoir Dogs (Explicit)","JAY Z, The LOX, Sauce Money, Beanie Sigel",""
"Fire","Dr. Fresch",""
"Work Witcha (Explicit)","Tay Money",""
"Da Rockwilder (Explicit)","Method Man, Redman",""
"Stop Being Greedy (Explicit)","DMX",""
"Say It Ain't So (feat. Sap) (Explicit)","Chris Webby",""
"Call from the Bank (feat. Mgmt) (Explicit)","Nipsey Hussle",""
"Dance with Me","112",""
"Whip","Illya 2.0",""
"You Gots To Chill","EPMD",""
"Hip Hop Hooray","Naughty By Nature",""
"Music Is My Hot, Hot Sex","CSS",""
"SHAKE (Explicit)","Jeane Marie",""
"Grinch 2000 (From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack)","Busta Rhymes, Jim Carrey",""
"Poison (Explicit)","The Prodigy",""
"Lovin On Me (Explicit)","Jack Harlow",""
"Lovin On Me (Explicit)","Jack Harlow",""
"Breathe Deeper (Lil Yachty Remix) (Explicit)","Tame Impala, Lil Yachty",""
"Brand New (Explicit)","Tyga, YG, Lil Wayne",""
"edamame (Explicit)","bbno$, Rich Brian",""
"It's Getting Hot (Explicit)","NLE Choppa",""
"It's Getting Hot (Explicit)","NLE Choppa",""
"Bwoii Affi"" Watch Eh Style","1Biggs Don, Steel Chest",""
"Bwoii Affi"" Watch Eh Style","1Biggs Don, Steel Chest",""
"Chill Bill REMIX (feat. D.R.A.M., Denzel Curry & Cousin Stizz) (Explicit)","Rob $tone, Shelley FKA DRAM, Denzel Curry, Cousin Stizz",""
"Chill Bill REMIX (feat. D.R.A.M., Denzel Curry & Cousin Stizz) (Explicit)","Rob $tone, Shelley FKA DRAM, Denzel Curry, Cousin Stizz",""
"Need You Tonight","INXS",""
"Hypnotize U","N.E.R.D",""
"All Nite","Dj Alias, Frankee More",""
"The Creator","Pete Rock, C. L. Smooth",""
"In My House (12"" Version)","Mary Jane Girls",""
"In My House (12"" Version)","Mary Jane Girls",""
"Grip (Explicit)","Baby Tate",""
"Joy to the World (Flava Mix)","Mariah Carey",""
"The Business","Tiësto",""
"Party Up (Explicit)","Destructo, YG",""
"Roses (Imanbek Remix) (Explicit)","SAINt JHN",""
"Notorious (Explicit)","Malaa",""
"Climate (feat. Offset) (Explicit)","BigXthaPlug, Offset",""
"Erotic City (Make Love Not War Erotic City Come Alive) [Extended Version] [2017 Remaster] (Explicit)","Prince, The Revolution",""
"Girls","The Prodigy",""
"Pursuit Of Happiness (Extended Steve Aoki Remix) (Explicit)","Kid Cudi, MGMT, Ratatat",""
"Get It Shawty","Lloyd",""
"Hoes In This House (Explicit)","The Pack",""
"Breathe","The Prodigy",""
"Forgot About Dre (Explicit)","Dr. Dre, Eminem",""
"Sandstorm","Darude",""
"Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat) (Explicit)","Three 6 Mafia, UGK (Underground Kingz), Project Pat",""
"Everybody (Explicit)","Nicki Minaj, Lil Uzi Vert",""
"Everybody (Explicit)","Nicki Minaj, Lil Uzi Vert",""
"Ick (Explicit)","Lay Bankz",""
"Money for Nothing","Dire Straits",""
"Meeting In The Ladies Room (Radio Edit)","Klymaxx",""
"Automatic","Zhu, AlunaGeorge",""
"Cut It (feat. Young Dolph) (Explicit)","O.T. Genasis, Young Dolph",""
